"claim_id","claim","evidence","status","allowed_wording","forbidden_wording","manuscript_location"
"R4C01","zone-class provenance","original keratinocyte/sebocyte signatures ssGSEA and clustering","CONFIRMED_EXPRESSION_DERIVED","expression-derived histological-zone classification","independently observed anatomical zone","Methods; Figure 1"
"R4C02","cohort comparator","20 hemorrhoidal disease and 18 anal fissure surgical controls","CONFIRMED","relative to anal fissure surgical controls","healthy or normal controls","All sections"
"R4C03","mRNA no-zone signal","5389 FDR signals after sex/BMI adjustment without zone","FORMAL_NO_ZONE_RESULT","broad no-zone mRNA disease contrast","5389 hemorrhoid genes","Results 2; Figure 2"
"R4C04","mRNA adjustment migration","0 adjusted FDR signals; 5255/5389 attenuated; 1016 reversals","SUPPORTED","mRNA inference is highly sensitive to adding zone","zone explains all mRNA differences","Results 2; Figure 2"
"R4C05","mRNA residual direction","4210 low-precision stable genes; 0 robust genes","LOW_PRECISION_ONLY","directionally stable low-precision genes","robust genes or biomarkers","Results 2; Supplement"
"R4C06","miRNA no-zone signal","45 mature-miRNA FDR signals after sex/BMI adjustment without zone","FORMAL_NO_ZONE_RESULT","broad no-zone mature-miRNA contrast","45 hemorrhoid miRNA biomarkers","Results 3; Figure 3"
"R4C07","miRNA adjustment migration","0 adjusted FDR signals; 41/45 attenuated; 5 reversals","SUPPORTED","mature-miRNA inference shows parallel sensitivity","miRNA validates mRNA mechanism","Results 3; Figure 3"
"R4C08","miRNA residual direction","229 low-precision stable mature miRNAs; 0 adjusted-stable","LOW_PRECISION_ONLY","directionally stable low-precision mature-miRNA signals","stable biomarkers","Results 3; Supplement"
"R4C09","reduced-zone boundary","0 gene and 0 mature-miRNA FDR signals","SUPPORTED_BOUNDARY","no feature persisted at FDR in reduced-zone analyses","no real disease effect exists","Results 2-4"
"R4C10","patient influence","substantial sample-sensitive classes and high-influence samples","MATERIAL_LIMITATION","patient influence limits feature claims","results are unaffected by individual patients","Results 2-4; Figures 2-4"
"R4C11","cross-analyte conclusion","parallel FDR loss and attenuation in mRNA and mature miRNA","SUPPORTED_SENSITIVITY","both analytes show inferential sensitivity","integrated or regulatory coupling","Results 4; Figure 4"
"R4C12","module evidence","three stable camera enrichments but patient scores not FDR significant","SECONDARY_ONLY","competitive enrichment only","confirmed module activity or mechanism","Supplement"
"R4C13","full-rank design","rank 6/6 with sparse zone overlap","ESTIMABLE_NOT_SEPARABLE","coefficient estimable with limited biological comparability","full rank resolves confounding","Methods; Discussion"
"R4C14","novelty","original restricted mRNA zone adjustment existed; unified genome-wide cross-analyte migration not identified","REAL_BUT_NARROW","cross-analyte sensitivity reanalysis","first zone-adjusted study","Introduction; Discussion"
"R4C15","article contribution","four-result evidence-boundary story","BRIEF_REPORT_LEVEL","methodological and interpretive contribution","mechanistic original research","Title; Abstract; Discussion"
"R4C16","HD-T4 and HD-T5","hard stop and R3 closure","CLOSED","none","network targets or single-cell validation","Omit"
